location,latitude,longitude
"Midlands, Center",-20.3399426,57.5693343
"Ste Croix, North",-20.1494234,57.5266725
"Tombeau Bay, North",-20.1067673,57.5305767
"Riambel, South",-20.5169117,57.4929368
"Eau Coulée, Center",-20.3084665,57.5250991
"Belle Mare, East",-20.1983407,57.774734
Rodrigues,-19.719514850000003,63.41759376094734
"Le Morne, West",-20.4684533,57.3451065
"Curepipe, Center",-20.3150516,57.5211497
"Argy, East",-20.2055549,57.7314076
"Cascavelle, West",-20.2875784,57.41490611856424
"Black River, West",-20.3331919,57.41302261302706
"Lallmatie, East",-20.190989,57.6671165
"Sodnac, Center",-20.2692159,57.4875562
"Grand Bay, North",-20.0130199,57.584627
"Mapou, North",-20.0788701,57.608614
"Highlands, Center",-20.2764157,57.5159571
"Bambous, West",-20.2571348,57.4176639
"Anna, West",,
"Wooton, Center",-20.295896650000003,57.54045561744207
"La Gaulette, West",-20.4275015,57.3599475
"Wolmar, West",-20.295678549999998,57.363371821124964
"Grand River North West, North",-20.1761956,57.4721008
"Forêt Daruty, North",,
"Souillac, South",-20.5187236,57.522503
